2020-08-09 20:55:45
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.00, 1.00, 0.82
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
C_subscribe_subscription          14813618600382 ns   108092468105 ns            1
C_subscribe_subscription          14813635400182 ns   108109269599 ns            1
C_subscribe_subscription          14813652126882 ns   108125996005 ns            1
C_subscribe_subscription          14813665332982 ns   108138952901 ns            1
C_subscribe_subscription          14813680053382 ns   108153675664 ns            1
C_subscribe_subscription_mean     14813311720460 ns   107787106815 ns           50
C_subscribe_subscription_median   14813311609982 ns   107787240538 ns           50
C_subscribe_subscription_stddev    218242521 ns    217222054 ns           50
D_unsubscribe_subscription        14813740006682 ns   108212477195 ns            1
D_unsubscribe_subscription        14813769093882 ns   108241578757 ns            1
D_unsubscribe_subscription        14813791144182 ns   108263642157 ns            1
D_unsubscribe_subscription        14813823276782 ns   108295778939 ns            1
D_unsubscribe_subscription        14813844068082 ns   108316566892 ns            1
D_unsubscribe_subscription        14813880114682 ns   108352554261 ns            1
D_unsubscribe_subscription        14813897806482 ns   108370278617 ns            1
D_unsubscribe_subscription        14813941572882 ns   108412273084 ns            1
D_unsubscribe_subscription        14813959135982 ns   108430729653 ns            1
D_unsubscribe_subscription        14813989347382 ns   108460810609 ns            1
D_unsubscribe_subscription        14814015087282 ns   108486650688 ns            1
D_unsubscribe_subscription        14814041381482 ns   108512902510 ns            1
D_unsubscribe_subscription        14814072311882 ns   108543841327 ns            1
D_unsubscribe_subscription        14814093449882 ns   108564972044 ns            1
D_unsubscribe_subscription        14814132077982 ns   108601190745 ns            1
D_unsubscribe_subscription        14814148335382 ns   108618725552 ns            1
D_unsubscribe_subscription        14814185638382 ns   108655950862 ns            1
D_unsubscribe_subscription        14814203268582 ns   108673595777 ns            1
D_unsubscribe_subscription        14814241883282 ns   108712201086 ns            1
D_unsubscribe_subscription        14814265147782 ns   108735105648 ns            1
D_unsubscribe_subscription        14814290994082 ns   108761129764 ns            1
D_unsubscribe_subscription        14814321935182 ns   108792077835 ns            1
D_unsubscribe_subscription        14814342590682 ns   108812725791 ns            1
D_unsubscribe_subscription        14814376131582 ns   108846263167 ns            1
D_unsubscribe_subscription        14814394560082 ns   108864658236 ns            1
D_unsubscribe_subscription        14814433342282 ns   108901583204 ns            1
D_unsubscribe_subscription        14814450267582 ns   108919441637 ns            1
D_unsubscribe_subscription        14814485915582 ns   108954496734 ns            1
D_unsubscribe_subscription        14814504808882 ns   108973709729 ns            1
D_unsubscribe_subscription        14814537701882 ns   109006559278 ns            1
D_unsubscribe_subscription        14814560829882 ns   109029687663 ns            1
D_unsubscribe_subscription        14814590913282 ns   109059258127 ns            1
D_unsubscribe_subscription        14814618530182 ns   109085964786 ns            1
D_unsubscribe_subscription        14814642069182 ns   109110074150 ns            1
D_unsubscribe_subscription        14814671904682 ns   109139913976 ns            1
D_unsubscribe_subscription        14814693584982 ns   109161588819 ns            1
D_unsubscribe_subscription        14814727834582 ns   109195942714 ns            1
