2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
B_destruct_subscription           14366306335912 ns   102211999083 ns            1
B_destruct_subscription           14366306918845 ns   102212582744 ns            1
B_destruct_subscription           14366307409431 ns   102213072550 ns            1
B_destruct_subscription           14366307984702 ns   102213648500 ns            1
B_destruct_subscription           14366308482892 ns   102214145933 ns            1
B_destruct_subscription           14366309058983 ns   102214732976 ns            1
B_destruct_subscription           14366309559894 ns   102215223050 ns            1
B_destruct_subscription           14366310209543 ns   102215874216 ns            1
B_destruct_subscription           14366310701820 ns   102216365464 ns            1
B_destruct_subscription           14366311281172 ns   102216945748 ns            1
B_destruct_subscription           14366311780112 ns   102217443784 ns            1
B_destruct_subscription           14366312345485 ns   102218009723 ns            1
B_destruct_subscription           14366312856300 ns   102218519993 ns            1
B_destruct_subscription           14366313355934 ns   102219019281 ns            1
B_destruct_subscription           14366313938016 ns   102219601871 ns            1
B_destruct_subscription           14366314438076 ns   102220101209 ns            1
B_destruct_subscription           14366315021500 ns   102220685384 ns            1
B_destruct_subscription           14366315517501 ns   102221180573 ns            1
B_destruct_subscription           14366316160520 ns   102221833935 ns            1
B_destruct_subscription           14366316669593 ns   102222333306 ns            1
B_destruct_subscription           14366317242588 ns   102222907195 ns            1
B_destruct_subscription           14366317742187 ns   102223405881 ns            1
B_destruct_subscription           14366318314979 ns   102223979577 ns            1
B_destruct_subscription           14366318817045 ns   102224480054 ns            1
B_destruct_subscription           14366319348250 ns   102225011440 ns            1
B_destruct_subscription           14366320065950 ns   102225734075 ns            1
B_destruct_subscription           14366320737190 ns   102226405340 ns            1
B_destruct_subscription           14366321490993 ns   102227158707 ns            1
B_destruct_subscription           14366322298238 ns   102227962680 ns            1
B_destruct_subscription           14366323128909 ns   102228794993 ns            1
B_destruct_subscription_mean      14366308118356 ns   102213787040 ns           50
B_destruct_subscription_median    14366308770938 ns   102214439454 ns           50
B_destruct_subscription_stddev       9076460 ns      9069144 ns           50
C_subscribe_subscription          14366345836183 ns   102251480720 ns            1
C_subscribe_subscription          14366360649187 ns   102266154179 ns            1
C_subscribe_subscription          14366374613938 ns   102280132156 ns            1
C_subscribe_subscription          14366390557311 ns   102296051001 ns            1
C_subscribe_subscription          14366407677797 ns   102313188076 ns            1
C_subscribe_subscription          14366419648336 ns   102325041288 ns            1
C_subscribe_subscription          14366435923611 ns   102341293843 ns            1
C_subscribe_subscription          14366451537111 ns   102356914857 ns            1
C_subscribe_subscription          14366463250879 ns   102368621705 ns            1
C_subscribe_subscription          14366476617664 ns   102381999324 ns            1
C_subscribe_subscription          14366492389082 ns   102397762580 ns            1
C_subscribe_subscription          14366506265793 ns   102411640590 ns            1
C_subscribe_subscription          14366517611171 ns   102422985108 ns            1
C_subscribe_subscription          14366534168846 ns   102439407268 ns            1
C_subscribe_subscription          14366549716064 ns   102454864967 ns            1
C_subscribe_subscription          14366561877998 ns   102467014966 ns            1
C_subscribe_subscription          14366574629949 ns   102479772125 ns            1
C_subscribe_subscription          14366590034236 ns   102495173648 ns            1
C_subscribe_subscription          14366605013158 ns   102510143361 ns            1
C_subscribe_subscription          14366616448285 ns   102521585827 ns            1
C_subscribe_subscription          14366630517572 ns   102535661681 ns            1
C_subscribe_subscription          14366645756751 ns   102550896759 ns            1
C_subscribe_subscription          14366658940521 ns   102564072926 ns            1
C_subscribe_subscription          14366670604002 ns   102575745161 ns            1
C_subscribe_subscription          14366685965553 ns   102591102368 ns            1
C_subscribe_subscription          14366701648428 ns   102606768479 ns            1
